Trait,Original code,New code,Original_name,New_name,Category,Category2,Notes
EA081,12,12,Earth or turf,Earth or turf,"Community organization, Housing, Ecology","Housing, Ecology",
EA081,13,13,Ice or snow,Ice or snow,"Community organization, Housing, Ecology","Housing, Ecology",
EA082,NA,NA,Missing data,Missing data,"Community organization, Housing","Housing, Ecology",Do societies share the attributes (shape) of the roof of houses?
EA082,1,1,Rounded or semi-cylindrical,Rounded or semi-cylindrical,"Community organization, Housing","Housing, Ecology",
EA082,2,2,Hemispherical,Hemispherical,"Community organization, Housing","Housing, Ecology",
EA082,3,3,Beehive shaped,Beehive shaped,"Community organization, Housing","Housing, Ecology",
EA082,4,4,Conical,Conical,"Community organization, Housing","Housing, Ecology",
EA082,5,5,Semi-hemispherical,Semi-hemispherical,"Community organization, Housing","Housing, Ecology",
EA082,6,6,One slope,One slope,"Community organization, Housing","Housing, Ecology",
EA082,7,7,Flat,Flat,"Community organization, Housing","Housing, Ecology",
EA082,8,8,Two slopes,Two slopes,"Community organization, Housing","Housing, Ecology",
EA082,9,9,Four slopes,Four slopes,"Community organization, Housing","Housing, Ecology",
EA083,NA,NA,Missing data,Missing data,"Community organization, Housing, Ecology","Housing, Ecology",Do societies share the main resource/material they use for building the roofs for the place they live in?
EA083,1,1,Stone or slate,Stone or slate,"Community organization, Housing, Ecology","Housing, Ecology",
EA083,2,2,"Plaster, clay or similar","Plaster, clay or similar","Community organization, Housing, Ecology","Housing, Ecology",
EA083,3,3,"Wood, incl. bamboo","Wood, incl. bamboo","Community organization, Housing, Ecology","Housing, Ecology",
EA083,4,4,Bark,Bark,"Community organization, Housing, Ecology","Housing, Ecology",
EA083,5,5,Hides or skins,Hides or skins,"Community organization, Housing, Ecology","Housing, Ecology",
EA083,6,6,Fabric,Fabric,"Community organization, Housing, Ecology","Housing, Ecology",
EA083,7,7,Mats,Mats,"Community organization, Housing, Ecology","Housing, Ecology",
EA083,8,8,"Grass, leaves or thatch","Grass, leaves or thatch","Community organization, Housing, Ecology","Housing, Ecology",
EA083,9,9,Earth or turf,Earth or turf,"Community organization, Housing, Ecology","Housing, Ecology",
EA083,10,10,Ice or snow,Ice or snow,"Community organization, Housing, Ecology","Housing, Ecology",
EA083,11,11,Tile or fired brick,Tile or fired brick,"Community organization, Housing, Ecology","Housing, Ecology",
EA084,NA,NA,NA,NA,"Community organization, Housing","Housing, Ecology","For the goals of this analysis, redundant to EA079. Excluded from analyses."
EA085,NA,NA,NA,NA,"Community organization, Housing","Housing, Ecology","For the goals of this analysis, redundant to EA080. Excluded from analyses."
EA086,NA,NA,NA,NA,"Community organization, Housing, Ecology","Housing, Ecology","For the goals of this analysis, redundant to EA081. Excluded from analyses."
EA087,NA,NA,NA,NA,"Community organization, Housing","Housing, Ecology","For the goals of this analysis, redundant to EA082. Excluded from analyses."
EA088,NA,NA,NA,NA,"Community organization, Housing, Ecology","Housing, Ecology","For the goals of this analysis, redundant to EA083. Excluded from analyses."
EA090,NA,NA,Missing data,Missing data,"Politics, Leadership, Economy",Community organization,Do societies share the patterns of political integration with neighbouring communities and/or a larger state?
EA090,1,1,"Absence, even locally","Absence, even locally","Politics, Leadership, Economy",Community organization,"Left as cateogory, code indicating stand along, non-integrated communities. "
EA090,2,2,Autonomous communities,Autonomous communities,"Politics, Leadership, Economy",Community organization,
EA090,3,3,Peace groups among communities,Peace groups among communities,"Politics, Leadership, Economy",Community organization,
EA090,4,4,Minimal states,Minimal states,"Politics, Leadership, Economy",Community organization,
EA090,5,5,Little states,Little states,"Politics, Leadership, Economy",Community organization,
EA090,6,6,States,States,"Politics, Leadership, Economy",Community organization,
EA090,8,8,Dependent societies,Dependent societies,"Politics, Leadership, Economy",Community organization,
EA094,NA,NA,NA,NA,"Politics, Leadership",Community organization,"For the goals of this analysis, redundant to the other Political succession classifications. Excluded from analyses."
EA112,NA,NA,NA,NA,Ritual,Ritual,"For the goals of this analysis, establishing a cultural sharing status is ambigous. Excluded from analyses."
EA113,NA,NA,NA,NA,"Ritual, Politics",Ritual,"Presence/absence variable (i.e. only two categories), hence excluded from analyses. "
EA202,NA,NA,NA,NA,Population,Population,"Continous data, not suited for assigning sharing/non-sharing of culture status for pairs of societies. Excluded from analyses."
